foto	manual
1.jpg	15
2.jpg	11
3.jpg	1
4.jpg	41
5.jpg	22
6.jpg	1
7.jpg	0
8.jpg	0
9.jpg	0
10.jpg	44
11.jpg	1
12.jpg	6
13.jpg	2
14.jpg	9
15.jpg	6
16.jpg	13
17.jpg	0
18.jpg	0
19.jpg	18
20.jpg	51
21.jpg	0
22.jpg	0
23.jpg	5
24.jpg	14
25.jpg	22
26.jpg	29
27.jpg	4
28.jpg	20
29.jpg	8
30.jpg	19
31.jpg	1
32.jpg	2
33.jpg	19
34.jpg	35
35.jpg	1
36.jpg	0
37.jpg	6
38.jpg	1
39.jpg	0
40.jpg	1
41.jpg	46
42.jpg	71
43.jpg	4
44.jpg	8
45.jpg	21
46.jpg	0
47.jpg	0
48.jpg	19
49.jpg	0
50.jpg	25
51.jpg	1
52.jpg	9
53.jpg	19
54.jpg	26
55.jpg	3
56.jpg	42
57.jpg	0
58.jpg	0
59.jpg	0
60.jpg	28
61.jpg	26
62.jpg	25
63.jpg	5
64.jpg	20
65.jpg	53
66.jpg	75
67.jpg	25
68.jpg	3
69.jpg	0
70.jpg	6
71.jpg	15
72.jpg	34
73.jpg	24
74.jpg	26
75.jpg	0
76.jpg	1
77.jpg	10
78.jpg	12
79.jpg	52
80.jpg	28
81.jpg	35
82.jpg	35
83.jpg	10
84.jpg	23
85.jpg	24
86.jpg	1
87.jpg	29
88.jpg	9
89.jpg	11
90.jpg	49
91.jpg	87
92.jpg	0
93.jpg	24
94.jpg	17
95.jpg	3
96.jpg	11
97.jpg	10
98.jpg	9
99.jpg	0
100.jpg	1
101.jpg	27
102.jpg	1
103.jpg	25
104.jpg	11
105.jpg	17
106.jpg	18
107.jpg	23
108.jpg	1
109.jpg	0
110.jpg	57
111.jpg	31
112.jpg	19
113.jpg	9
114.jpg	34
115.jpg	11
116.jpg	28
117.jpg	25
118.jpg	16
119.jpg	22
120.jpg	34
121.jpg	7
122.jpg	18
123.jpg	9
124.jpg	8
125.jpg	24
126.jpg	3
127.jpg	11
